"SourceIP","DestinationIP","Port"
"10.0.0.127","13.89.187.212","443"
"10.0.0.127","40.108.224.39","443"
"10.0.0.127","23.8.127.133","80"
"10.0.0.127","65.54.226.144","80"
"10.0.0.127","52.114.132.74","443"
"10.0.0.127","152.199.4.33","443"
"10.0.0.127","13.107.6.175","443"
"10.0.0.127","104.42.78.153","443"
"10.0.0.127","137.117.66.167","443"
"10.0.0.127","52.205.216.77","443"
"10.0.0.127","52.170.21.67","443"
"10.0.0.127","192.30.253.125","443"
"10.0.0.127","52.114.142.24","443"
"10.0.0.127","52.112.65.218","443"
"10.0.0.127","52.173.28.179","443"
"10.0.0.127","52.114.142.93","443"
"10.0.0.127","52.114.142.17","443"
"10.0.0.127","52.165.175.144","443"
